Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
Cam's Closet,iamCamsCloset,https://www.iamcamscloset.com/,501c,6/5/2019,Cameron Traylor,,,,4125 Lillington Drive,Durham,North Carolina,27704,Durham,camsclosetdurham@gmail.com,,"""Our mission is to provide clothes, food, school supplies, and other basic necessities for underprivileged youth between the ages of 13-18 in Durham, NC."" (Facebook, 2/19/2021)","no activity on Facebook page for over a year (Patrick, 6/14/2021). Website is still current and active, Tiffany 7/7/23. NC Secretary of State website status is ""Current-Active"", info not found on IRS website, active website, 5-1-24 - John.",,,,,
Cameron Technology Solutions Incorporated,,http://www.cameronts.com/,C Corporation,1/13/2010,Robert Cameron,,,,103 Salem Towne Ct,Apex,North Carolina,27502,Wake,bob.cameron@cameronts.com,(919) 931-1547,Cameron Technology Solutions (CTS) offers technology solutions and agile processing experience for local and global businesses.,"incorporated NC, annual report 11/27/2016, 11/26/2017","Annual report 12/31/19, JL 6/14/20. AR 6/1/21- JL 7/21/21. Website is active, NC Sec State website status is ""Current - Active"", NC AR - 4-4-22, 6-27-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 1/12/23, website active (Juliana, 5/23/23) NC Secretary of State website status is ""Dissolved"", Annual Report filed 1/12/23, filed for destruction on 1/11/24, active website, 5-1-24 - John.",,,,
CanvasGT,CanvasGT,https://canvasgt.com/,C Corporation,2/7/2020,Andrew DiMeo Sr,,,,PO Box 2611,Raleigh,North Carolina,27602,Wake,andrewdimeo@canvasgt.com,(919) 606-1337,"""CanvasGT is a values based team building a software solution that promotes connections between left and right brain thinking. Our aim is to enhance creativity while capturing thoughts and data in an organized, secure manner."" (website, 10/29/2020)","shared with NCSU incorporated NC Mailing Address: 401 Bledsoe Ave Raleigh, NC 27601","Website is active, NC Sec State website status is ""Current - Active"", NC AR - 1-14-22, 6-27-22 - Tiffany. Dissolved, destruction filing 12/9/22, website inactive, (Juliana 5/23/23) NC SoS status ""Dissolved"" on 12/9/22, website inactive (John 5/1/24).","Liquidation, close down",12/9/2022,,
Capio BioSciences Inc,,http://www.capiobiosciences.com/,C Corporation,11/3/2015,Andrew Wang,Seungpyo Hong,Andrew Wang,,505 S Rosa Road,Madison,Wisconsin,53719,,info@capiobiosciences.com,(608) 441-8375,"""Founded in 2015 by cofounders Seungpyo Hong PhD (UW, Madison WI) and Andrew Wang MD (UNC, Chapel Hill NC), Capio Biosciences is a biotech start-up focused on delivering high-value oncology diagnostics that can help inform patient care decisions and improve outcomes. At Capio Biosciences we are currently developing an advanced platform called CapioCyte? for the capture of circulating tumor cells (CTCs) from whole blood. By utilizing a combination of biomimetic cell rolling and dendrimer-mediated multivalent cell capture, CapioCyte delivers significantly greater capture sensitivity than other platforms currently available. It is also able to provide enriched CTCs for post capture molecular analysis such as FISH, RNA-Seq and NGS. CapioCyte is therefore an excellent tool for today?s cancer research needs, and potentially for clinical patient management in the future. ""Our Vision: To be the world?s leading liquid biopsy company providing valuable clinical information to improve patient outcomes."" (website, 2/5/2018)","Incorporated in DE, File Number: 5867787. Also incorporated in Wisconsin: ID - C096397, Status: ""Incorporated/Qualified/Registered"", website is active, 6-27-22 - Tiffany","Incorporated/Qualified/Registered on Wisconsin site, website active (Juliana, 5/23/23) Regstered in WI, status ""Incorporated/Qualified/Registered"", AR filed 2024, active website (John 5/2/24).",,,,
Capture Pharmaceuticals Inc,Capture Pharmaceuticals LLC,https://www.capturepharm.com/,,3/17/2009,Russell J. Mumper,Michael Jay,Russell J. Mumper,Michael Jay,72105 Moseley,Chapel Hill,North Carolina,27517,Orange,,(919) 240-5791,Capture Pharmaceuticals is focused on developing oral and topical formulations of DTPA prodrugs as radionuclide decorporation agents.,"incorporated as LLC in NC 3/17/2009, converted to Inc 3/4/2010 (Cindy, 1/28/2016) annual report NC 4/8/2016 Mailing Address: 1500 Iredell Dr. Raleigh, NC 27608 Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","Annual report filed 3/25/19.Website is inactive. JL 6/14/20. Website still inactive, but annual report filed 2/12/21. - JL 7/21/21. Website is still inactive, NC Sec State website status is ""Current - Active"", NC AR - 10-6-21, 6-27-22 - Tiffany. Dissolved on NC website, destruction filing 2/17/23, website inactive (Juliana, 5/16/23). ""Dissolved"" on NC SoS on 2/17/23, website inactive (John 5/3/24).","Liquidation, close down",2/17/2023,,
Carbon Conversion Systems,FormaMelt,,LLC - Limited Liability,5/29/2015,Ralph House,Peng Kang,,,95 Wood Laurel Ln,Chapel Hill,North Carolina,27517,Orange,,,Carbon Conversion Systems is focused on utilizing carbon dioxide as starting material for the production of industrially relevant chemicals and fuels using environmentally benign electrochemical processes.,"incorporated NC, DE; withdrawn NC 12/30/2016 (Cindy, 4/13/2017) UNC Assisted as no license with UNC yet (Cindy, 8/12/2015) Chemistry and UNC EFRC: Center for Solar Fuels (EFRC = Energy Frontier Research Center, funded by UNC DOE)",,"Liquidation, close down",12/30/2016,,
Carbon Inc,EIPI Systems Inc; Carbon3D Inc,http://carbon3d.com/,,6/3/2013,Joseph DeSimone,Alexander Ermoshkin,Joseph DeSimone,Edward Samulski,1089 Mills Way,Redwood City,California,94063,,info@carbon3d.com,(650) 285-6307,"Carbon3D's CLIP technology grows parts instead of printing them layer-by-layer - allowing businesses to produce commercial quality parts at game-changing speeds, creating a clear path to 3-D manufacturing.","now has license for UNC patent application (Cindy, 2/9/2016) OCED not reporting to AUTM as Tech startup per Michael, falls into category of existing firm licensing a technology (10/25/2016) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","NC annual report filed 3/30/20. Easier to locate company as ""Carbon3d Inc"" JL 6/14/20. Website is active, NC Sec State website status is ""Current - Active"", NC AR - 3-9-22, 6-27-22 - Tiffany. Current - Active on NC Site, NC Annual Report Filed 1/30/2023, website active (Juliana, 5/23/23) NC Secretary of State website status is ""Current-Active"", Annual Report filed 4/10/24, active website, 5-3-24 - John.",,,,
CardioEphEx LLC,,http://www.cardioephex.com,LLC - Limited Liability,4/17/2015,Monte S Willis,,,,122 Archery Range Road,Bahama,North Carolina,27503,Durham,cardioephex@gmail.com,,"From Company Website:""Cardio EphEx is a biopharmaceutical company focused on the discovery of drug candidates to treat cardiovascular disease, with a particular focus on developing therapeutic strategies for indiviuals with heart failure.""","incorporated NC; annual report filed NC 5/1/2016, 5/29/2017, 3/2/2018 (Cindy)","Website no longer is active. Annual report filed Jan 2019. Jen Lai (6/2/19). Website no longer active second year and no updates on annual report. 6/14/20. Website not active, NC Sec State ""dissolved"" status 12/17/20. - Will mark record as ""inactive"".","Liquidation, close down",12/17/2020,,
CareYaya,"CareYaya LLC, CareYaya Health Technologies, Inc.",www.careyaya.org,C Corporation,12/16/2020,Neal Shah,Gavry Eshet,,,4030 Wake Forest Rd Suite 249,Raleigh,North Carolina,27609,Wake,support@careyaya.org,(919) 346-4821,"CareYaya is a tech marketplace platform that?s building the next Uber or AirBnb ? for elder care, to help our parents & grandparents! The company launched less than a year ago, with great traction across the Triangle, helping senior citizens & families conveniently find caregivers to help with in-home care. The caregivers are mostly pre-health students across UNC, Duke, NC State and other universities, who get valuable patient care hours toward professional school, great pay and build meaningful relationships. The platform is growing rapidly and has won referral relationships and partnerships with the Duke University medical system, the DukeWell preventative care program, and the Dementia Alliance of North Carolina..","Mailing Address: 2600 Glenwood Ave Ste 324 Raleigh, NC 27608 Converted to a business corporation and re-named: CareYaya Health Technologies, Inc. on 6/3/22. Website is active, NC Sec State website status is ""Current - Active"", 6-27-22 - Tiffany. Website is active, NC Sec State website status is ""Current - Active"", (7-20-23, Tiffany). NC SoS Status ""Active- Not Current"", has not filed AR since converting to a corporation, website active, website/email/phone updated (John 5/4/24).",,,,,
Carolina Conscious LLC,,http://www.carolinaconscious.org/,LLC - Limited Liability,2/19/2016,Patrick Lowery,Deanna MacCormac,,,325 Lindsay St,Chapel Hill,North Carolina,27514,Orange,carolinaconsciousunc@gmail.com,,We are combating sexual assault in the Carolina Community.,"incorporated NC, annual report 4/17/2017 & amended 6/2/2017","NC Sec State status is ""dissolved"" on 10/11/19, but website is still active, JL 6/14/20. Website no longer active, JL 7/21/21. Per note above, marking as ""inactive"", 6-27-22 - Tiffany","Liquidation, close down",10/11/2019,,
Carolina Instruments LLC,PeRoLAB,,LLC - Limited Liability,10/4/2022,Nicolas Pegard,Jose Rodriguez-Romaguera,Nicolas Pegard,Jose Rodriguez-Romaguera,106 Pine Lane,Chapel Hill,North Carolina,27514-4331,Orange,,,"Our company aims to commercialize biometric sensors for the eye, based on a new technology that we developed in our labs, and for which we filed a provisional patent. Eye biometric data is highly valuable for medical research and clinical applications to detect and track dysfunctions in arousal responses of patients suffering from neuropsychiatric and neurological disorders. The devices we propose use infrared light diffusing through the eye to measure pupil size, eye motion, heart and respiratory rates. Our technology measures all these data far more efficiently than the current state of the art, with a single device that minimally burdens patients, and with sampling capabilities that are orders of magnitude faster than alternate, image-based technologies. Medical applications exist in personalized medicine where our technology can detect unexpected hypo and hyper arousal states in real-time, and enable fast actions that best benefit neurodivergent patients. Our technology will also find applications in consumer electronics. Integrated in Virtual Reality and Augmented Reality headsets, our minimally invasive and precise eye-tracking capabilities can improve hands-free navigation and 3D image rendering with fovea-optimized displays matched to the eye?s direction. Arousal tracking capabilities can provide neural feedback to the computer to measure attention, interest, and reactions to displayed content. Together, these new capabilities can dramatically improve the ability to simulate immersive 3D environments in high demand within the video gaming industry. Our technology can be integrated into personal protective and safety equipment and track early symptoms of fatigue and low attention for operators of dangerous machinery.","license effective 5/6/2024 per OTC/Carmen, 7/22/2024","No website found, NC SoS status as ""Current - active,"" latest annual report 1/19/2023. Address is correct, phone number added. (Mackenzie, 6/14/23) NC Secretary of State website status is ""Current-Active"", no website found, 5-18-24; latest AR filed 4-15-2024 - John.",,,,
